ra,ano,fase,turma,nome,idade,genero,ano_ingresso,instituicao,pedra,inde,iaa,ieg,ips,ipp,ida,nota_matematica,nota_portugues,nota_ingles,indicado_bolsa,atingiu_pv,ipv,ian,fase_ideal,defasagem,fase_num,fase_ideal_num,pedra_padrao,instituicao_padrao,iaa_original,ipv_original,defasagem_original,defasagem_calculada,genero_inconsistente,ano_ingresso_inconsistente,idade_inconsistente
RA-1,2022,7,A,Aluno-1,19,Feminino,2016,Pública,Quartzo,5.783,8.3,4.1,5.6,,4.0,2.7,3.5,6.0,Sim,Não,7.278,5.0,Fase 8 (Universitários),-1,7,8,Quartzo,Pública,8.3,7.278,-1,-1,False,True,False
RA-2,2022,7,A,Aluno-2,17,Feminino,2017,Rede Decisão,Ametista,7.055,8.8,5.2,6.3,,6.8,6.3,4.5,9.7,Não,Não,6.778,10.0,Fase 7 (3º EM),0,7,7,Ametista,Rede Decisão,8.8,6.778,0,0,False,True,False
RA-3,2022,7,A,Aluno-3,17,Feminino,2016,Rede Decisão,Ágata,6.591,0.0,7.9,5.6,,5.6,5.8,4.0,6.9,Não,Não,7.556,10.0,Fase 7 (3º EM),0,7,7,Ágata,Rede Decisão,0.0,7.556,0,0,False,False,False
RA-4,2022,7,A,Aluno-4,17,Masculino,2017,Rede Decisão,Quartzo,5.951,8.8,4.5,5.6,,5.0,2.8,3.5,8.7,Não,Não,5.278,10.0,Fase 7 (3º EM),0,7,7,Quartzo,Rede Decisão,8.8,5.278,0,0,False,False,False
RA-5,2022,7,A,Aluno-5,17,Feminino,2016,Rede Decisão,Ametista,7.427,7.9,8.6,5.6,,5.2,7.0,2.9,5.7,Não,Não,7.389,10.0,Fase 7 (3º EM),0,7,7,Ametista,Rede Decisão,7.9,7.389,0,0,False,False,False
RA-6,2022,7,A,Aluno-6,18,Feminino,2021,Pública,Quartzo,5.848,7.9,4.5,7.5,,3.3,2.3,5.3,2.3,Sim,Não,7.222,5.0,Fase 8 (Universitários),-1,7,8,Quartzo,Pública,7.9,7.222,-1,-1,False,False,False
RA-7,2022,7,A,Aluno-7,18,Masculino,2017,Rede Decisão,Ágata,6.818,0.0,8.4,7.5,,7.6,8.2,5.7,9.0,Não,Não,7.667,5.0,Fase 8 (Universitários),-1,7,8,Ágata,Rede Decisão,0.0,7.667,-1,-1,False,True,False
RA-8,2022,7,A,Aluno-8,20,Feminino,2018,Pública,Quartzo,4.786,7.1,4.6,6.3,,1.6,1.2,0.7,2.9,Não,Não,6.278,5.0,Fase 8 (Universitários),-1,7,8,Quartzo,Pública,7.1,6.278,-1,-1,False,False,False
RA-9,2022,7,A,Aluno-9,18,Feminino,2019,Pública,Topázio,8.109,8.8,9.5,7.5,,6.7,5.5,6.0,8.7,Sim,Sim,9.5,5.0,Fase 8 (Universitários),-1,7,8,Topázio,Pública,8.8,9.5,-1,-1,False,False,False
RA-10,2022,7,A,Aluno-10,18,Feminino,2021,Pública,Quartzo,5.784,8.3,5.2,5.0,,4.1,3.3,2.6,6.4,Não,Não,7.056,5.0,Fase 8 (Universitários),-1,7,8,Quartzo,Pública,8.3,7.056,-1,-1,False,False,False
RA-11,2022,7,A,Aluno-11,18,Feminino,2016,Pública,Quartzo,5.323,9.2,4.2,5.0,,3.0,1.8,2.5,4.5,Não,Não,6.389,5.0,Fase 8 (Universitários),-1,7,8,Quartzo,Pública,9.2,6.389,-1,-1,False,False,False
RA-12,2022,7,A,Aluno-12,17,Feminino,2020,Pública,Quartzo,4.832,0.0,4.0,6.9,,1.5,2.7,1.1,0.7,Sim,Não,6.389,10.0,Fase 7 (3º EM),0,7,7,Quartzo,Pública,0.0,6.389,0,0,False,True,False
RA-13,2022,7,A,Aluno-13,18,Masculino,2016,Pública,Ágata,6.902,7.9,7.4,7.5,,4.7,3.5,5.5,5.2,Sim,Não,8.056,5.0,Fase 8 (Universitários),-1,7,8,Ágata,Pública,7.9,8.056,-1,-1,False,True,False
RA-14,2022,7,D,Aluno-14,21,Masculino,2022,Pública,Ágata,6.793,7.9,8.3,7.5,,4.0,8.0,0.0,,Sim,Não,7.75,5.0,Fase 8 (Universitários),-1,7,8,Ágata,Pública,7.9,7.75,-1,-1,False,False,False
RA-15,2022,7,D,Aluno-15,18,Masculino,2022,Pública,Ametista,7.783,8.8,10.0,7.5,,7.3,8.0,6.5,,Sim,Não,7.292,5.0,Fase 8 (Universitários),-1,7,8,Ametista,Pública,8.8,7.292,-1,-1,False,False,False
RA-16,2022,7,D,Aluno-16,19,Masculino,2022,Pública,Ágata,6.112,7.9,8.3,5.0,,3.5,7.0,0.0,,Sim,Não,6.333,5.0,Fase 8 (Universitários),-1,7,8,Ágata,Pública,7.9,6.333,-1,-1,False,False,False
RA-17,2022,7,D,Aluno-17,20,Masculino,2022,Pública,Topázio,8.068,8.8,10.0,7.5,,7.8,9.0,6.5,,Sim,Não,8.292,5.0,Fase 8 (Universitários),-1,7,8,Topázio,Pública,8.8,8.292,-1,-1,False,False,False
RA-18,2022,7,D,Aluno-18,19,Masculino,2022,Pública,Ametista,7.226,6.3,8.7,6.3,,9.0,9.0,9.0,,Sim,Não,6.875,5.0,Fase 8 (Universitários),-1,7,8,Ametista,Pública,6.3,6.875,-1,-1,False,False,False
RA-19,2022,7,D,Aluno-19,19,Feminino,2022,Pública,Ametista,7.665,7.9,9.5,7.5,,8.0,7.0,9.0,,Sim,Não,7.0,5.0,Fase 8 (Universitários),-1,7,8,Ametista,Pública,7.9,7.0,-1,-1,False,False,False
RA-20,2022,7,D,Aluno-20,19,Feminino,2022,Pública,Ametista,7.535,7.1,10.0,6.3,,7.8,9.0,6.5,,Sim,Não,7.167,5.0,Fase 8 (Universitários),-1,7,8,Ametista,Pública,7.1,7.167,-1,-1,False,False,False
RA-21,2022,7,D,Aluno-21,18,Masculino,2022,Pública,Ágata,6.945,9.6,9.2,7.5,,3.8,7.0,0.5,,Sim,Não,7.25,5.0,Fase 8 (Universitários),-1,7,8,Ágata,Pública,9.6,7.25,-1,-1,False,False,False
RA-22,2022,6,A,Aluno-22,17,Feminino,2019,Rede Decisão,Ametista,7.474,8.3,7.4,8.1,,6.7,9.0,3.1,7.8,Não,Sim,8.833,5.0,Fase 7 (3º EM),-1,6,7,Ametista,Rede Decisão,8.3,8.833,-1,-1,False,False,False
RA-23,2022,6,A,Aluno-23,17,Masculino,2021,Pública,Ametista,7.677,8.3,8.2,8.1,,6.7,7.2,4.7,8.2,Sim,Sim,8.556,5.0,Fase 7 (3º EM),-1,6,7,Ametista,Pública,8.3,8.556,-1,-1,False,False,False
RA-24,2022,6,A,Aluno-24,17,Feminino,2021,Rede Decisão,Topázio,8.087,9.2,7.9,6.9,,8.6,10.0,6.3,9.7,Não,Sim,9.111,5.0,Fase 7 (3º EM),-1,6,7,Topázio,Rede Decisão,9.2,9.111,-1,-1,False,False,False
RA-25,2022,6,A,Aluno-25,17,Feminino,2021,Pública,Ametista,7.979,8.3,8.3,8.8,,6.9,9.2,3.8,7.7,Sim,Sim,9.667,5.0,Fase 7 (3º EM),-1,6,7,Ametista,Pública,8.3,9.667,-1,-1,False,False,False
RA-26,2022,6,A,Aluno-26,17,Masculino,2022,Pública,Topázio,8.677,9.6,8.8,10.0,,8.0,9.5,4.4,10.0,Sim,Sim,10.0,5.0,Fase 7 (3º EM),-1,6,7,Topázio,Pública,9.6,10.0,-1,-1,False,False,False
RA-27,2022,6,A,Aluno-27,17,Masculino,2016,Rede Decisão,Ametista,7.124,0.0,7.6,8.1,,8.0,7.7,6.3,10.0,Não,Sim,9.111,5.0,Fase 7 (3º EM),-1,6,7,Ametista,Rede Decisão,0.0,9.111,-1,-1,False,True,False
RA-28,2022,6,A,Aluno-28,17,Feminino,2019,Pública,Ágata,6.242,7.9,6.1,7.5,,5.0,8.2,1.5,5.3,Não,Não,6.333,5.0,Fase 7 (3º EM),-1,6,7,Ágata,Pública,7.9,6.333,-1,-1,False,False,False
RA-29,2022,6,A,Aluno-29,17,Masculino,2022,Pública,Quartzo,4.985,0.0,4.0,8.8,,3.7,6.3,1.1,3.8,Sim,Não,7.611,5.0,Fase 7 (3º EM),-1,6,7,Quartzo,Pública,0.0,7.611,-1,-1,False,False,False
RA-30,2022,6,A,Aluno-30,16,Feminino,2021,Pública,Ametista,7.605,8.8,6.4,7.5,,7.5,8.5,4.4,9.7,Não,Não,7.333,10.0,Fase 6 (2º EM),0,6,6,Ametista,Pública,8.8,7.333,0,0,False,False,False
RA-31,2022,6,A,Aluno-31,17,Feminino,2019,Rede Decisão,Topázio,8.843,10.0,9.5,9.4,,8.0,9.0,5.7,9.3,Não,Sim,10.0,5.0,Fase 7 (3º EM),-1,6,7,Topázio,Rede Decisão,10.0,10.0,-1,-1,False,True,False
